author,comment,likes,published_at,reply_count
@alexbobotan5162,TERBAIK BRO FROM INDONESIA,1,2021-07-27 23:14,0
@Muhdsaufi20,sape suke abng isa like sikit🤟,1,2020-05-25 10:02,0
@soulpartnerhilda4887,Content kau lgy Mahal dari duit kau .,1,2020-05-27 00:23,0
@dzuriahas7041,Sedih gak,1,2020-05-27 05:56,0
@beatricejebit7383,"Dik,Isa .terharu dgn apa yg kau but.. sungguh bangga sy.. mohon doa jg sy dan keluarga DPT rezeki spt MU dan blh membantu orang yg susah...ya. .. semua orang nk hidup berkelimpahan...apa lgi bila suxses spt adik ni baik lgi dgn org terima kasih dik ..beruntung sgt org tua kamu..jg sahabat2 kamu ... Tuhan memberkati usaha kamu dan keluarga,dan sahabat kamu..selalu sehat dan terus kan. . berbuat baik.. Amen 🙏🥰❤️",1,2021-07-16 01:07,0
@Azroy4351,🙏🙏🙏🙏,1,2021-10-25 06:17,0
@rizalabuhurairahraizal8476,Terbaik lah.,1,2021-12-03 14:14,0
@faizulhisyam7129,👍Aba,1,2021-02-07 11:47,0
@baihaqimaru,Mr beast malaysia 🤘🏻🔥,1,2020-05-27 02:47,0
@faiqmohamed6458,Octafx👍👍👍👍,1,2023-03-31 22:00,0
@Shah-qd9xy,Terbaik konon shah tue ...tapi nak buang isa ..apo,1,2022-09-21 07:42,0
@fariziskandar5592,aku suka do attitude isa time ni. now pun okay but sometimes mcm over act sngt 😂 but okay je x menyalahi undang ii pun hehe,1,2022-08-23 12:36,0
@haniefdanial4770,"Masa dlm kreta tu dia cakap Naviend yg mkan sdangkan air tu ada 3,cpat mngaku siap yg tak puasa masa tu !! HAHA 🤣🤣",1,2022-07-31 11:55,0
@hallapkcrmitc7319,kahkahkah....X sangka lak kwn aku kapten mohd kena prank dgn isa team...huhuhuh,1,2022-04-18 18:08,0
@ibnurhendra1114,♡♡♡♡♡♡,1,2022-04-14 12:15,0
@frederick5464,First orang Kasi sedekah orang sarawak,1,2022-04-11 04:11,1
@normahaliaahmed3035,perbuatan yang baik akan dibalas dengan baik.,1,2022-04-03 08:44,0
@syahzackkofficial7418,"First hahaha, btw semua video isa semua baik ii",1,2020-05-25 10:00,0
@quriatulchannel7695,abg Isa saya nk iphone abng boleh Lanja tak saya teringin sangat nak iphone kawan ii saya semua pakai iphone,1,2021-12-24 01:26,2
@ainulliddosgaming2037,road to 1m isa isarb ❤❤🎊🎉🎊,1,2020-05-25 17:16,0
@decevale8145,Terbaik bro sya suka ni video,1,2020-06-06 13:09,0
@hf8506,Bos bleh bg no ws sapa2 yg bleh guide buat octafx ni youtube xngam lah,1,2020-05-27 02:02,0
@juujufrii9250,Bang Isa buat give away ps4,1,2020-05-25 10:01,0
@AkuPeduli,Social experiment yg baik.. Congrats 👏👍,1,2022-01-27 11:54,1
@Daniel-of6yl,Selamat hari raya isarb clan,1,2020-05-25 10:01,0
@basyirahairuldin1201,Ahhh kau perasan ade TAEHYUNG kat situu 😫,1,2022-01-17 12:51,0
@muhammasyassinmuhammadyass6883,Dari Muhammad Yassin Albert Michael semoga kamu dapat anugerah dari Allah SWT memudah kan urusan dakwah kamu,1,2022-01-08 13:14,0
@amirulzainal3398,Isa selamt hari raya isa nk datng rumah boleh nk raya,1,2020-05-25 10:02,0
@kentjenyayaarthur2823,Terbaik org sarawak,1,2020-06-07 17:28,0
@shahrulaminrosli8856,isa isarb memang terbaik la,1,2020-05-25 17:04,0
@Mr_jae7,"Nak join la clan 😁 harap2 blh la 
Umor 18",1,2021-03-08 01:46,0
@itsfaiq7779,Orang Sarawak yg pakai topi tu hensem doh 😁,1,2021-04-17 08:25,0
@aqil0029,Padu video isa isarb ni... Sentiasa padu😂😂😅,1,2020-05-25 10:08,0
@azrysyazwan7419,assalamualaikum doakan saya menang rank😍,1,2021-03-25 19:21,0
@sembilansahabat3541,semoga dimurahkan rezeki 🤲 🙂 isaisarb,1,2020-05-27 09:25,0
@khairilfitri2028,Isa bila nak keluar video baru....,1,2021-03-17 07:23,0
@musthazarulasraf2417,Wow! Premiere je dah 6k views . Moga kau terus berjaya . Aku sentiasa support dan doakan kau,1,2020-05-25 10:11,0
@user-vh7pr2vd8u,20 ribu macam 2 ringgit,1,2020-06-08 08:36,0
@zzzzkkkkn,Hi.saya dri masa depan,1,2021-03-09 13:51,0
@MOHAMADNASIRNASIR-bo4eb,like dulu ya boss kita Maybank 155096172893,1,2020-05-25 10:13,0
@salamukhwah7072,First,1,2020-05-25 10:02,0
@noorlelamk5799,"Semoga murah rezeki,panjang umur Dan sentiasa dlm lindungan Allah Aamiin",1,2021-02-27 10:23,0
@sigma_team1235,"X pa lah isa..sbb awak byk bantu org lain,saya subscribe lah channel awak..terbaik..semoga banyak lagi membantu orang lain.Aamiin3..",1,2021-02-23 05:52,0
@hafizhassan7202,Main forex modal berapa boss,1,2020-05-27 10:26,2
@Handlesworld,octafx ni mcm mana hukum dia gys,1,2020-05-25 10:14,0
@leyricmajail95,Aku dah banyak mc..d octafx..🤣🤣,1,2020-05-27 10:47,1
@muhammadadam3877,👍,1,2021-02-12 06:28,0
@infocusinfocus1822,Kim taehyung 😂😂😂 btw who army,1,2020-05-27 11:02,0
@MOHAMADNASIRNASIR-bo4eb,terbaik boossku,1,2020-05-25 10:17,0
@amirulhakim3168,10:49 macam blur je 😂😂,1,2020-05-27 09:20,0
@blackdarker3276,Isa kenapa sebelum Pkp isa tak buat Macam Dia sexy lepastu Tanya Dia Nak syurga ke neraka kalau pilih syurga Tanya kenapa Pakai sexy kenapa tak nak pakai sopan hahahahahahah kena Dia 😅😅😅,1,2020-05-26 20:07,0
@mohamadli8746,Terbaek!! Keep up with the great content. Octafx  mmg Power!!,1,2020-05-25 17:46,0
@hanifhanafiz6406,Terbaik lah..,1,2020-05-27 09:09,0
@globaltechno8198,"@isa isarb, nk join octafx, nk under awal blh tk",1,2020-05-25 17:03,0
@IzxKang,Doakan segala yang bersedekah itu masuk syurga kerana bersedekah itu lebih hebat termasuk solat awal waktu.,1,2021-06-26 13:38,0
@pembunuhyangberjaya736,Sumpah kaya sial. Sampai 20000,1,2020-05-25 17:36,0
@harizatazlan6021,"Aku pernah minyak abes kat city square masa tu aku sesat nak balik ke kempas cek duit dekat belakang beg tgok beg belakang terbuka sempat call abg aku ckp aku sesat dkt city square pastu HP terus mati bet3 xde..mcm2 org aku jumpa nak pinjam duit untuk isi minyak masa tu baru aku fhm mcm mne rasa org susah...aku amek smok aku nak jual dkt brader2 grab masing2 xnk beli hari...pastu Allah jumpakn aku dgn hambanya yg baik hati masa dkt stesen minyak aku tnye Abg tu ""bole pinjam rm5 x sbb duit saya terbang masa nak ke kempas,saya sesat xthu jalan JB ni. Pastu Abg tu bagi rm5 dye kata ""dik kau follow kete Abg..nnti Abg tunjuk kn jalan ke kempas. Sampai je dkt kempas abg tu isi minyak aku pergi dkt Abg tu mintak no tel pon due untuk balas budi Abg tu tapi Abg tu kata takpe dye ikhlas tolong ..last dpt no Abg tu tapi no Abg tu hilang aku harap sgt aku dpt jumpa Abg tu lagi...mohon doakan Abg yg tolong aku ni walaupun rm5 dye bagi nilai dkt dye kecil tapi nilai dkt aku sgt besar😔",1,2020-06-08 02:21,0
@mvwrath66,subscribe isa sampai 1M,1,2020-05-25 10:04,0
@littlens1,Terbaik video si isa isarb ni👌🏻,1,2020-06-06 06:17,0
@raoufz.4220,Menara Optometry ❤️,1,2020-05-26 20:58,0
@zawawiyahya1512,Terbaik org muda buat videoclip berguna harap kita semua boleh berlajar🤲❤️,1,2020-05-27 08:18,0
@muhdafzan6753,ISAISARB... boleh tolong saya ajar tentang OCTAFX tak ? Ws 0149718732,1,2020-05-27 08:20,0
@hazman2802,"Assalamualaikum Isa. Its good social experiment that you have done. May Allah bless you with unprecedented Barakah and blessings dunya & Jannah.

So I just a having suggestions for your next video.. What are the people   will done when gets someones phone. I think the video shoot will be complicated, interesting & challenging. Where you have a lot of works..

So another suggestion.. It will be more interesting if you do so with your own expensive Apple IPhone.. 😜.
Take care & Good Luck..

Selamat Hari Raya Aidilfitri Maaf Zahir dan Batin",1,2020-05-25 16:58,0
@atokko3508,ajar gua bro...psal bisnes octafx,1,2020-05-26 20:33,0
@KIDSCHANNEL-jn7el,Sape suka tolong orang like,1,2021-06-10 05:40,0
@KIDSCHANNEL-jn7el,Saya pon doa kan isa sabab banyak tolong orang aminn.....,1,2021-06-10 05:39,0
@KIDSCHANNEL-jn7el,Doa kan saya jadi macam awak rezeki yang banyak dan boleh tolong orang yang susah amin...👍👍👍👍,1,2021-06-10 05:38,0
@hafiziehaziq2054,Video isa isarb banyak tolong orang saya harap kita rakyat malaysia jadi macamnya alhamdulilah,1,2021-06-08 05:46,0
@atokko3508,"bgi aq je bro
aq bleh bt bisnes",1,2020-05-26 20:17,0
@theWanforAqilah,"naviend Rm5 ringgit..dia bg 150, 30kali ganda tu 🤣",1,2020-05-25 16:55,0
@fenixz9875,gentle lah salam orang time corona😂,1,2020-05-25 10:51,0
@ingfahim,"siapa yang minat mancing, meh singgah channel aku..
team isarbb mmg terbaikk",1,2020-05-25 10:37,0
@apurahman6546,I like you bro i min bangladesh saya dudu malaysia bang,1,2020-06-11 08:31,0
@ilikerobloxroblox9664,Semoga isa Dan kwn2 sihat selalu dn dimurahkn rezeki amin...,1,2020-05-26 10:57,0
@muhdhakimm8806,Selamat hri raya bng❤️🙏🏻,1,2020-05-25 11:03,0
@sanizamahmad7885,Baiknya abang isa isarb,1,2020-09-26 12:38,0
@seoo-su4pt,HP gue kentang,1,2020-08-31 06:54,0
@allysahrin6215,Ter baiklah org sarawak..pertama kali bagi pertolongan..,1,2020-06-04 05:19,0
@irsyadgamingzzz2929,Buat giveaway!,1,2020-05-25 19:58,0
@naufalayisymohdnizam4664,Ese,1,2020-06-04 05:21,0
@naufalayisymohdnizam4664,Nak nomination,1,2020-06-04 05:21,0
@danialfuad3637,You're the best isa!,1,2020-05-25 11:00,0
@syahmiaimanmatrejap9406,terbaik la isab <3,1,2020-05-28 08:44,0
@imanbalqis5324,Sdp nye😢😢,1,2020-09-29 12:51,0
@mnazmi3046,"Mantap geng. Bangga jadi rakyat malaysia dgn adanya orang orang pemurah mcm mereka. Harap vid ni pun boleh jadi pengajaran utk kita semua supaya bantu orang lain yg susah jugak 👍 bukan bantu utk duit 10x tapi utk pahala yg tidak berpenghujungnya. Pahala sedekah ni dahsyat guys walaupun sikit kita bagi, impaknya besar kpd penerima 💯",1,2020-05-26 10:34,0
@maggikari3697,Buat banyak lagu bang,1,2020-05-25 11:19,0
@ZseishiroOfficial,nice content brooo 👍🏻 semoga dimurahkan rezeki aminn 🤲🏼,1,2020-05-28 21:53,0
@akulahsecond2539,Rindu kau isa 😂,1,2020-05-25 11:20,0
@mohamadakmal351,"Malaysia prihatin 👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏

Kitajagakita💙💛❤🏳",1,2020-09-29 23:08,0
@chatibaipi1297,Abang boleh belanja saya fon kampong keladi 144e,1,2020-08-27 09:13,0
@nurulizzaty7243,Wey menangis aku tgk video ni 😟 aku pernah rasa wey camni semoga team israb dimurahkan rezeki yang melimpah !! Amin 👍,1,2020-09-10 15:53,0
@nurliyana7318,Naise bro❤️,1,2020-05-25 10:59,0
@ashrafotong1709,Assalamualaikum Isa irarb,1,2020-08-27 05:22,0
@nurmaisarahalyaa5577,Memang nice lah,1,2020-05-25 10:59,0
@cikdiyya2242,Air mata terus bergenang tengok yg mula2. Semoga semuanya dimurahkan rezeki💖,1,2020-06-04 06:46,0
@tehsyarmimi6906,"YA ALLAH, RAHMATILAH SI BUDAK ISA BERTUAH NI, buat le dik apa2 pun yang baik2. Semoga adik dan team sentiasa di Rahmati Allah. ALLAHUAKBAR..terrrbaek dik😍😘😍😘😍😘",1,2020-05-25 19:12,0
@loongmlbb8820,"Saya sub isa isab ni sbb orgnya baik , tak sombong , content smua oke best melayan.l , smga slalu d murahkan rzki",1,2020-05-25 10:58,0
@ahmadlut3097,Aslm bro,1,2020-10-04 06:29,0
@ahmadsyahirmansor6029,Tolong ajar aku supaya jadi kaya mcm ko bro!,1,2020-05-26 10:14,0
@Addyasmawi,"Isa, aku g duk ngan ko sebulan bleh? Hehehehe.. Ko ajar aku abis2 pasal pelaburan nie.. Target aku x byk bro, asal aku bleh bukak kedai mkn pun jadi la..",1,2020-05-28 09:36,0
@akmalvideocannel6180,yow,1,2020-05-28 18:25,0
@husinchannel9670,"Terharu sangat sangat dengan video nie..2 beradik usia masih mudah begitu pemurah sanggup keluarkan duit simpanan dari akaun untuk membantu orang yang memerlukan..Subhanallah..
Video ni sangat menginspirasi..
Terbaiikkk Isa isarb dan team Isa isarb..👍👍👍👍",1,2020-08-25 08:32,0
@raz3274,"9:50 fuh jangan memain tu, askar laut tu. Tentera Laut Diraja Malaysia.",1,2020-09-01 12:54,0
@sofiandanie1931,"Dari situlah kita boleh tahu ke ikhlasan hati manusia. Sesiapa sahaja yg ikhlas membantu orang yg susah, Allah pasti skan membalas rezekinya di luar tafsir kita.",1,2020-09-11 05:42,0
@FA-cv5vu,"Saya harap lepas Ni lebih ramai orang yang akan Bantu orang susah di luar Sana macam abang isa Dan kawan2 dia,saya harap Isa isarb dengan kawan2 dia sentiasa sihat Dan diberikan rezeki yang lebih luas Amin.............",1,2020-05-25 11:11,0
@MalMeow-i9o,Love ur content bro and hope will get 1M subss,1,2020-05-25 15:28,0
@madd-sg1xv,Terbaik isa Grop,1,2020-05-25 11:10,0
@adulbahari6998,Terbaik bro,1,2020-09-06 13:20,0
@saifull1723,Terbaik lh brother yg nk antau skli 2... 👍👍👍 semoga bro 2 d murahkn rezeki...,1,2020-05-28 15:01,0
@sarassathis7022,Social experiment ini baik,1,2020-05-25 11:10,0
@pokjomtv1611,"Sila Like Dan Subscribe channel saya.

Saya akan subscribe korang balik . 😊🙏🏻",1,2020-06-03 18:38,0
@minami4833,isarb clan ada member pelat woeee,1,2020-05-28 15:54,0
@mohdfaiz9726,Isa bila kau buat video ni. kau buat waktu pkp ke?,1,2020-05-26 11:51,0
@mohdfaiz9726,Isa Sekarang kau duduk dekat mana?  Dulu isa duduk dekat sungai buloh,1,2020-05-26 11:53,0
@zahimkechik3041,Isa .... Boley buad video tutorial octafx tak ?,1,2020-05-25 19:32,0
@sharvin8474,Good Job Bro ❤️,1,2020-09-19 19:42,0
@asyrafmahrudin,Mantap isa 😍,1,2020-05-25 11:07,0
@BELLA-fp7vw,"saya dengar isa beli rumah 1.8 betul ke
🤨🧐",1,2020-05-28 12:43,0
@AbdulLah-iv4qs,Org yg buat baik lepas nii..bagi la 500@1000 biar lagi ramai sub dan doakan bro isa,1,2020-06-12 20:03,0
@eyna25,Nak nangis tengok hm,1,2020-05-26 12:06,0
@amatzaquan2510,Kalau korang pakai selekeh sikit baru npak real...,1,2020-06-03 18:14,0
@zabedahbintihusen3547,Isa... Boley buad video tutorial octafx tak ? Sye x berapa nk pham lha,1,2020-05-25 19:29,0
@muhammadwafi1981,"Bagus konsep ni, kalau la org tu tahu dia akan dpat 10x ganda, dia akan bagi. Mcm tu jugak kalau seseorang tu tahu brapa Allah nak balas asbab sedekah kita, nescaya kita pun akan bagi tanpa soal... Insha Allah",1,2020-05-25 15:20,0
@shahrulnizam7153,Bang kalau saya nak join  group abg blh ke 🙂,1,2020-06-12 09:48,0
@shushikings8841,Proud to be sarawakian.. ❤️,1,2020-09-02 18:03,0
@ariftiger2344,Nak menangis pun ade aku tengok vid kau isa isarb semoga kau berjaya dunia dan akhirat,1,2020-05-25 19:49,0
@pohgaming8909,Banyak dah yg bukan org melayu jadi populer kat malaysia ni paham2 la wahai RM.. Jgn jadi mcm c LT tu... Wkkwkkwkwkw,1,2020-05-25 19:26,0
@sltino4010,terbaik dohhhh,1,2020-05-25 11:05,0
@syahidaali3603,Barakallah.. terbaekk bro😊👍💙,1,2020-08-25 10:50,0
@muhammadzuhairy8920,Weyh syok main octafx ni,1,2020-05-25 19:13,0
@Nasdin-ph7qb,Boleh bagi nombor isa isarb tak untuk whutsap pm...,1,2020-09-10 15:27,0
@aidahussin494,Suka tgk moga makin maju dan sukses...,1,2020-08-21 10:16,0
@mayzue3494,I'm crying😢,1,2020-05-29 03:22,0
@jalijali3585,Confius2 wah poyo la kt kuala lumpur,1,2020-05-29 03:21,0
@shirosdelicacies4125,Tolong subscribe channel saya juga🙏🏼😅❤,1,2020-05-26 13:16,0
@bob-s9r7s,Good Bro. 👌👍,1,2020-05-25 10:57,0
@dandyzaneee,"Apa benda la beli subscriber, viewer, likers dri app iShareFans... Tak malu ke woi",1,2020-10-18 00:00,0
@miloaistan,Sibuk la Shah tu,1,2020-05-28 07:34,0
@miatajima5414,weh orang pakai baju biru tu dengar ckp ada duit tadi kan terus dia nk mintak duit tengok lh vape dekat leher,1,2020-10-17 01:28,0
@mraditofficial,Amin gais mantap,1,2020-05-25 11:27,0
@TripleIIIChannel,"Selamat Hari Raya MZDB ✨💯
-
- 
TOLONG AKU YOUTUBER PEMULA MALAYSIA 😭😭
GUYS TOLONG SUBSCRIBE YOUTUBE CHANNEL AKU GUYS NANTI AKU SUBSCRIBE KORANG BALIK !! COMMENT KAT BAWAH DONE JE ! KAT CHANNEL AKU AKU REVIEW MAKANAN YG VIRAL YG TRENDING !! MEH SINGGAH DAN JANGAN LUPA SUBSCRIBE TAUUU SRS TAK RUGI KALAU KORANG SINGGAH SBB ADA GIVEAWAY UNTUK KORANG !!
p",1,2020-05-25 11:25,0
@horrorseekers7367,🏁 Subscribe KENSHIRO OSSASUKE,1,2020-06-01 03:23,0
@arifyusri,channel camera senyap tu mmg dari kau or orang luar? channel tu macam ambik kesempatan je suruh orang buat octafx,1,2020-05-26 13:02,0
@rtwy_ly1889,2:32 (dari pagi sampai ke malam kau nk membawang) hahaha😂😂👍,1,2020-05-29 01:31,0
@shyer8915,"bagusnya bang isa , ajar rakyat supaya prihatin kpd org2 yg memerlukan , terbaekk 👍",1,2020-08-24 02:34,0
@coverage85,AKU RESPECT YG BTUL2 SUSAH SANGGUP BAGI JUGAK DUIT...MMG RESPECT...ORG YG SUSAH AKAN DPT RASA PERASAAN YG SAMA...,1,2020-05-25 11:27,0
@THMBa_SITIKHADIJAHBINTIMOHDSAN,another way of sedekah🥺,1,2020-06-03 12:47,0
@muhdzhorif5602,Nice bro tolong org...moge allah pnjngkn umur ko n murahkan rezeki..amin🤲🏻,1,2020-05-25 10:52,1
@MRXxX6449,Isa isarb memang terbaik . Semoga sukses selalu bang .. semoga rezeki nya selalu bertambah ..,1,2020-05-25 10:57,0
@aafiqxx_story8790,Respect bro Grab tu 🤲🏻,1,2020-05-26 12:46,0
@abdullahjailani774,mashaALLAH 😍😍😍😍,1,2020-06-15 14:15,0
@zmsidlanish1435,"Isarb  Shah  , isa  isarb  dan  isarb  navied  is  great",1,2020-05-25 11:24,0
@hamziyusup2653,isa awk baik lah isa😍😍😍😁😁,1,2020-05-25 10:52,0
@user-sd4fm8sk6p,Nak duit raya,0,2020-05-25 19:51,0
@zianadzrabintimohdruslan1753,"Kaye nye dorg ni...mmg youtube berjaya...susah nk dpt... Mmg bagus sangat channel ni,banyak bantu negara kita..",0,2020-05-25 20:32,1
@haikalhasni1490,Sempoi nk mampoih,0,2020-05-26 01:35,0
@hazwanhazwan5470,"mcm semak laa isarb Shah ni, for me dia dtg dlm isarb clan time diorang dah senang. srs diaa bg aku semak laaa tgk diaaa huh",0,2020-05-25 18:02,1
@rosshaidahayatimohd417,Tq kak abg yg shah jumpa mula2 tu.s3moga dia murah rezeki selalu.boleh nampak keikhlasan dia. Tak de lah dia nampak senang walau pun sekarang dia pun x kerja tapi masih sangup bg derma pada geng yg ssh juga.,0,2020-05-25 17:23,0
@emaema1578,Navient tak puasa ke ???,0,2020-05-26 02:24,0
@norazamullah8651,Allahuakbar 👍😭,0,2020-05-25 19:47,0
@babangiyang6293,"Kami punya bapao
Kami punya hobby makan
Kalian punya isa isarb
Smoga chanel mu tembus
10 jt subcreber..",0,2020-05-26 02:36,0
@mohammadmie8297,Muka ensem blh kerja apa haha fikir2kanlah .,0,2020-05-26 02:40,0
@abiddanial1154,Alhamdulillah,0,2020-05-25 19:47,0
@malikihrtv782,Terbaik,0,2020-05-26 01:32,0
@muhammadwafiuddin7705,Tapi ape yg ko wt ni bro memng terbaik,0,2020-05-25 20:51,0
@denizqola9974,baiknye korang semua.,0,2020-05-26 01:35,0
@ayubialayubi1698,satu je aku nak cakap tak de org kaya yg nak hidup mintak mintak org duit... walau pon dia menipu ataw alasan dia nak mintak duit tak munasabah kita bagi je itu antara dia dengan Allah... pahala kita bersedekah tetap dapat... kita tak kan miskin kalau menderma dan tak kan kaya jugak kalau tak bersedekah...,0,2020-05-25 17:25,0
@eppyap2859,Ise...cm mane nk join korg ye..keje ngn team korg ke..,0,2020-05-25 19:53,0
@haziqjusre4058,Asalam semua. Aq youtuber baru. Harap rmai blh bantu aq SUBSRIBE saya punya channel🙏,0,2020-05-25 19:53,0
@DanishBunn,Kasi 1000 Dpt 10000 Kaw2,0,2020-05-26 01:37,0
@marwanharun2767,Bohong la budak ni...berlakon ja tu,0,2020-05-25 17:22,0
@chaanet7280,Aku rasa channel isa dngn azfar dan uel je aku respect,0,2020-05-25 17:25,0
@danialgamers1238,"Hujan menandakan rezeki , selepas shoot tu terus hujan maybe isab punya rezeki makin berlimpah la sebab dah tolong orang",0,2020-05-25 17:47,0
@MrQMrQj,Mantop bro lu bikin mcm ni..subahanallah..dpt kita tngok org malaya mcm mna kan,0,2020-05-25 22:07,0
@user-sd4fm8sk6p,Siapa tak dpt duit raya ckp saya,0,2020-05-25 19:55,0
@roxernnnclub1506,"in conclusion, tak ada orang jatuh miskin disebabkan bersedekah.",0,2020-05-25 19:43,0
@cassidyfrancisunau1462,Terbaek la org srwakk !!,0,2020-05-25 22:03,0
@Hadiiii1__,Isa bahaya isa,0,2020-05-26 02:24,0
@muhammadwafiuddin7705,Assalamualaikum Isa leps ni jgn ckp main forex ckp trade forex nah,0,2020-05-25 20:50,0
@kamalachik3095,Wow,0,2020-05-25 18:00,0
@sapikokoko7416,kenapa laa geng korang xjumpa aku!! kalaw aku buat2 xtaw jew bgi jew 50.... diaorg bgi lebih lgi😍😍😍😍😍😍😘,0,2020-05-26 02:26,0
@kamakam5389,betol bro sape penah susah je akan rase bila org lain susah.. dan bila org susah mtk tolong mmg dorg akan tolong,0,2020-05-25 18:00,0
@zuhairieyhairiey4725,Terbaik org Sarawak🥰,0,2020-05-26 02:28,0
@fahimmaf2469,Isaisarb ni mcm MRBEAST laaaa,0,2020-05-25 17:57,0
@amirulday4254,Kau kerja apa Isa?,0,2020-05-25 17:55,0
@apiksaimi3345,Bangga jadi org srawak👍👍,0,2020-05-26 01:32,0
@NaissGaiss_TV,Sape yg tgk video ni aku doakan semoga diberikan kesihatan yg baik dan dimurahkan rezeki yg melimpah ruah..aamiin😍😍,0,2020-05-26 01:32,0
@amrisyukri4519,"aku paling suka kau buat video macam ni, serius, dekat situ kita bole tengok masyarakat malaysia dalam keadaan susah macam mana, thanks for the video, thanks isa isarb",0,2020-05-25 17:54,0
@Aliamran6756,Ini mcm baru konten bro...yg lain nth ape ape,0,2020-05-26 02:30,0
@muhammadazwanimbran7712,terbaik la isa like ebit lew.. btw u ar so awesome dan pemurah..bgusla buat duit bnyk2 sbb nak bntu org atleast duit tu ad utk bantu kat akhirat nnti.. tkde la buang gitu jer....respect,0,2020-05-25 17:53,0
@ariffinariffin-xo2qc,Terus kan niat sedekah dalam Islam Isa isarb ..saya pun nak tolong macam mana orang lain buat ☺️☺️,0,2020-05-25 18:00,0
@muhammadanas4831,Kalau orang nmpak 10x ganda pahala yang allah bg kepada sesiapa yang bersedekah..pasti ramai yang akan bersedekah...terbaik isa,0,2020-05-25 22:13,0
@fahmidanish6727,Hj,0,2020-05-26 01:33,0
@rendy1357,"Menarik pulak content kali ni rakyat malaysia prihatin sbnrnya cuma bbrapa org yg xdpt bg tu mmg betul2 sdg susah..apa yg blh aku dpt dr video ni..simple je ""makin bnyk sedekah kita makin murah rezeki kita""..satu lgi,Isa bayar lebih 20k tu reaksi dia mcm byr rm20 je..aku hrplh rezeki kita dimurahkan mcm Isa ni.",0,2020-05-25 20:36,0
@relaxsantai4773,"aku suke la tgk cara percakapan shah,teratur dan beradab..
utk other social experiment please always invite shah,",0,2020-05-25 20:36,0
@zenbizzGaming,"Tolong subcribe dekat saya geng. Ada giveaway raya saya nak bagi.. kena subcribe and like and Comments 📝
👈👈👈👈
Meh subcribe",0,2020-05-25 20:32,0
@tineswaranbalan2288,Ni dekat dgn Unitar ni🔥 Biasa lepak kotttt,0,2020-05-25 22:13,0
@kbmusic889,This guy should win nobel prize,0,2020-05-25 17:53,0
@shafarizemir9900,Kenapa tak hire kepengs?,0,2020-05-25 17:52,0
@atanspedzz8086,Selamat hari raya Isa🙏..memang terbaik vd kalini,0,2020-05-25 18:01,0
@TheAshrafcharles,Terbaekk boss 👍,0,2020-05-25 17:51,0
@stonebto76,"Good Experiment bro, keep it up....",0,2020-05-26 01:33,1
@danielasraf3142,aku tengah susah boleh bantu x,0,2020-05-25 17:49,0
@MrQMrQj,Moga2 ramai lg bro dpt bantu org yg memerlukan ya..biar org nk kata apa..yg penting bro ikhlas..allah nmpk dan tahu,0,2020-05-25 22:10,0
@afneerdanial9339,"Saya teringin nak jumpa abang isa kalau abang datang cheras abang update la ye. And Selamat Hari raya abang isa❤️


Like sikit guys 
Selamay hari raya guys
Staysafe
Stayathome",0,2020-05-25 17:25,0
@erfankecik8276,Ni yg lama,0,2020-05-25 17:32,0
@syamimss2315,over shah.. sorry tak minat.,0,2020-05-25 17:26,0
@amirulshah1810,Kali ni Video terbaik aku terpaksa like dan subscribe chanel ni,0,2020-05-25 17:26,0
@financialadam,Terbaik,0,2020-05-25 20:07,0
@wanahmadidham3486,Terharu tngk video ni. Terbaik Isa,0,2020-05-26 02:08,0
@mohdaliff9198,"""BE YOURSELF AND NEVER SURRENDER"" EH TIBER IG:mhdalifafifi_",0,2020-05-25 21:38,0
@encikmisteriproduction7546,Sy selalu tgk vid abg isac .sedekah laa 5k dkt akaun sy😣👉🏻👈🏻 musim ii pkp ni,0,2020-05-25 20:08,0
@rosadi8973,Salam dari Indonesia bang Isa,0,2020-05-25 20:08,0
@mohamadawisqarni42,Terbaik bro,0,2020-05-25 20:11,0
@syedahmadnaufal3294,kalau lah ada 100 kali boleh like video kat yt video ni aku like do,0,2020-05-25 21:37,0
@firdausjefrie658,Muka ganas kau minta 10 dia bagi 20..penampilan tidak melambangkan hati . Semoga bro tu murah rezeki ..semoga juga kamu smua sentiasa dimurahkn rezeki ..aamiin,0,2020-05-25 20:13,0
@hassanahmad3195,"Insyaallah Klau channel ni lebih banyak buat kebaikan seperti rezeki tu xkn putus, terbaik isarb 👍",0,2020-05-26 02:09,0
@waiefadhillah283,Forex ni bukan haram ke?,0,2020-05-25 17:34,0
@larosastone4555,Video ni buat aku nangis ..,0,2020-05-26 02:18,0
@atif7839,Moga murah rezeki isa,0,2020-05-26 02:12,0
@mohdfarizuanshahbinabdulra1325,Brother tu siap gantung pod lagi,0,2020-05-25 21:03,0
@KmyOnRampage,kelana jaya ni,0,2020-05-26 02:13,0
@Naszrol,5k mng happy.yg klah kesian plak mlyang 5k.bertabahlah navin 😁,0,2020-05-25 21:26,0
@arulder4427,Aku dgr je shah ckp dari puchong trus aku fokus rupanya dia pernah main snooker skali dgn aku rupenye dkt maju jaya puchoong utama hahaha terbaik shah,0,2020-05-25 20:14,0
