text,label
kuala lumpur rocks! i think i'm gonna be really happy here..as long as i'm gonna stay inshallah!,2
why not batu kawa,1
i loove lapcheong.,2
it's so delicious!,2
where is this?,1
no thanks but thanks..nasty..,0
"if you enjoy and appreciate authenticity, you shall give mr.nasi lemak @ wisma genting is a place worth experiencing. definitely not the usual over-commercialised, hyped nasi lemak — but a traditional kampung-style malay nasi lemak. they were also featured in adam from otr food & history.",2
i studied in malaysia for 2 years and i enjoyed the food very much.,2
do an episode where you're really angry and you eat shitty food and frown,0
i like your food locations mark. you live the actual street life and normal people culture and scenery.,2
hi mark like your good your of malaysia my family extended family aew from there but was born in the uk england,2
i live in kl for 23 years & i've never been to some of these places before 😂😂,1
"welcome to malaysia,let's walk around in city kuala lumpur,don't forget to taste all kiind a famous food at street hawker, night market and restorant with malay,chinese and indian delicious dish full of great flavour,les't eat🇲🇾🐯🌺😎😎🤗🤗😤😤🌏♎♐",2
you disrespected malaysianswhen you ate the nasi lemak with a spoon and fork,0
wow you beat many locals on how to enjoy this food ❤,2
"great, glad you have done this beautiful video. you helped us malaysian appreciate what we have and for visit malaysia 2026 a success ❤",2
them pork lungs or beef?,1
malaysian food is the best cuisine in the world. the spicy + sweet + umami combo is unbeatable.,2
thank you for this amazing video ❤,2
love this food make me drool,2
your making my mouth watering to go out there and check out the stalls .i like the chicken wings and the beef noodles and thats on my list .thank you .im an ardent fan of yours even before your son came travelling with you .,2
why does the pakcik wear him ring when do work ? so weird tho,0
i know everyone in malaysia that can cook one recipe incredibly well. it's like everyone can cook kungfu 😂,2
this guy know how to eat,2
hi. there mark. thank you for taking me along on your trip to malaysia and show me different types of food they eat the way in which they cook it as a chef i applaud you thank you,2
went for bbq chicken at 6p.m. on a saturday and there's no fire burning and they say they're not open.. waste of 2 hours,0
"it's the same as peking duck,the wings look the same..",1
i have never seen anyone get an orgasm over a chicken wing !! come on man..time to stop the drama over small stuff like a chicken wing..it's not your first time in malaysia and you had all those dishes before..,0
the fish wrapped in banana leaf is not even scaled or gutted..no thank you !!,0
mark always go to malaysia but never been to borneo ..sarawak and sabah,1
malaysia not chinese not india.. thats melayu cauntry.. if u look chinese food thats not malaysia food that china food,0
"malaysian staying in germany here will stop by kl next week before returning to sabah for chinese new year. for the last few months, my mind just keep thinking what foods and where to eat!! 😂 can’t wait to be home!",2
"did you really eat all of that in one day? i am malaysian, and what you ate is way too much for me to try, never mind finish, in one day. 🙂",0
pls drite the road name where the food stall is located & the price,1
pls put in the road name for each stall u eat at.,1
"whoevers reading this, jesus christ is real and king. he died on the cross for our sins and we must acknowledge that. lastly, remember to live for his word.he is coming back soon (copy and paste this to spread the gospel) amen god bless the lord 🙏✝",2
is there a crispy crust?,1
"i really don’t mind going to malaysia every new year’s holiday. the food is heavenly and the places you can stay in are countless. tropical beaches don’t excite me anymore. touring kl and food hunting is most pleasurable. saying that, i put on a couple of kilos just in a week. let us know your secret for staying lean.",2
"i loove lapcheong, the chinese sausage.",2
bro..you look like you haven't eaten in a week! 😂,0
the boneless fish looks good bangus or milk fish is delicious if deboned esp bangus belly,2
malaysian food is amazing my favorite cuisine in the south east asian region,2
modern malaysia or malacca empire (500) years ago used to be the hub of asia in term of distributing and trading spice and herb from all over asia and being delivered to europe on 14th 15th century so it wont surprised me with our richness taste of cuisines blend by history and culture since hundreds year ago and enjoy ur food buddy,1
going in a few days. i really want to try the sting ray and the claypot rice!! will come back and tell you how it tasted! thanks!,2
"friendly malaysians speak and understand english, welcoming tourists from all over the world 👏👏",2
