comment,label
i know everyone in malaysia that can cook one recipe incredibly well. it's like everyone can cook kungfu 😂,2
is there a crispy crust?,1
those bones i cant deal with,0
try satay bro,1
my fav thing to have in the morning is chapati 😍,2
you should try traditional dessert next!,2
"terubok - toli shadfatty flesh with tonnes of bones, becareful",1
what good is technology if you can't reach inside screen and grab a bite from mark's claypot right there😂😂 22:34,1
"8:40 i am surprised you found terubuk (toli shad, or chinese herring) ! these are not so easy to find !",0
welcome to malaysia. do enjoy your stay,2
dim sum is different from dumplings so i think thats why you were disappointed it wasn't the same. i'd recommend shanghai if you ever go to china for some authentic dim sum.,0
my grandmother loves stinky tofu & she said that if you don't find it stinky it's not good stinky tofu,0
"stingray is genuinely one of my favourite proteins of all time. when you cook it just right, the skin becomes like a soft brittle rubber and the bones become a crunchy snack.",2
the dumpling is actually called siu mai i think. it's not supposed to have to many skin. the swirly bread is mantau. it's plain buns,1
the black stinky tofu are usually not as stinky as the one thats beige colour and is served dry with a side of pickled salad. they are actually different!,0
8:40 hi saf ! love your videos :) just wanted to let you know that those dumplings are called siu mai ! they are meant to be wrapped in a thin wonton wrapper as opposed to regular dumplings !,2
everything looks so yummy . my stomach would never survive lol❤,2
"10:52 i love when avocados are added in market smoothies! my favorite smoothie ever was one i got at a juice stand in the city centre of tangier, they also had avocado in a lot of their juices",2
fry your lok-lok ! that’s why it was bland,0
"this all looks so yummy but as a noted intense germaphobe, 10:42 the non-gloved hands touching the unwrapped straw and pushing it into my drink, especially somewhere hot and humid, would’ve made it undrinkable for me 😭 i know it probably happens more than i want to know, but out of sight out of mind. can’t pretend it doesn’t exist when it happens in front of you lol",0
dancingbacons mentioned. i love them sm,2
"noo, the stingrays skin are the most tastiest errghh",2
i want all of this 🤤. everything looks so yummy,2
"you need to try an avocado-mango smoothie in ethiopia, it's incredible.",2
my stinky tofu experience was very different - smelle dmore like dog poo than stinky socks to me - knew i was near my hostel when i could start to smell it,0
"safiya i like stinky tofu!! if it's not smelly from 2 streets away and especially just 2cms from your face, to me it's not genuine stinky tofu haha! but im glad you like it and welcome to malaysiaa!! sad to not bump into you :{",2
"stinky tofu rm20??!! and not that stinky? i remember stinky tofu sold in a pushcart in singapore, i could smell like 20 meters away. 🤣",0
you gotta try fried lok lok and actually smelly toufu! they are the best!,2
should try satay next round xd,1
you should visit the longest night market on wednesdays in taman connaught! you'll definitely be able to smell the stinky tofu from miles away,2
i'm most interested in the stingray! the shreddy texture looks pretty appealing,2
13:40 that's because those indian snacks are made from fried chickpea flour! aka gram flour or besan. the squid skewer is probably breaded in chickpea flour.,1
yall should have gotten loklok fried,0
the 臭豆腐（stinky tofu） was probably not that stinky because this is a tourist spot，so they make it not too smelly for the tourists who might not be comfortable buying it if it was absolutely revolting.,0
steam bun scammed,0
i like the bony part of the stingray,2
"night markets is one of the things i miss the most in asia 😭 like yeah we ""have"" ""night markets"" where i am now but the entry cost? the expensiveness of the stuff inside?? they just don't capture the spirit of a real night market",0
is it just me or is 68 ringgit like so steep for a musang king?(kami jual 45 je cni),1
grilled stringray yess,2
im malaysian and the best part about the stingray is the skin!! such a shame we cant see you try it but the crispy umami smoky flavour is incredible !!,2
"gurl, i went to china and tried their stinky tofu, and it is funkyy. maybe the tofu i tried was a little bit too fermented",0
7:32 hawking as in hawker centre? that's where it came from?i was kinda hoping you stayed for ramadan and see ramadan bazar as well but this was few months ago. glad you enjoyed your stay.,2
i love the stingray skin,2
sting ray and frog kinda make me sad because those both feel like pets to me. even though i've never had a sting ray pet 😅,0
i think my favorite would be the hot pot one. all those fun veggies and things!,2
"hi!! a malaysian subs here 🙋‍♂️. to the locals, if we can't smell the stinks from the stinky tofu, is not a good stinky tofu. the smell has to be so strong tat you should be finding a stinky tofu stand through your nose, not your eye 😂",0
"if you want pandan jam, you should get the kaya bao. the one you got is a mantou, so it's a bit plain :)",1
stinky tofu smells so bad you can smell it from kilometers away. literally.,0
"""1 piece for rm5"" apam balik??!! that's daylight robbery!",0
"ah the bun didn’t have fillings because you can see on the menu it’s a 馒头, or mantou, which are steamed buns specifically without fillings 😂 9:45",1
"i love fermented tofu too (although i haven't had it prepared like that, and now i want to!) but i do think it's noteworthy that the highest rating went to the thing they tried first, when they were hungriest. hunger is the best seasoning after all!!",2
"stinky tofu used to be much stinkier. my hometown (changsha) is the origin of the black stinky tofu. even there, it is impossible to find stinky tofu that's actually stinks nowadays. which makes me sad, bc the stinkiness actually makes it so much better.",0
Rm40 sambal pari??,0
too many bones,0
taiwanese stinky tofu nearly knocked me out,0
"wagyu at 34 min was slightly overcooked. should be just barely above rare. get so much more flavor and mouth coating velvety fat.anyone considering wagyu, barely have it cooked or seared. its already thin and cooks fast",0
that ain't no omlette. that is scrambled egg with oysters!,0
"boom buffet, roti bhatura is actual indian bhatura from chole bhatura, boom roti is south indian paratha, blatantly taking indian stuff and calling them his 😡 disgusting.",0
sonny dying from undercooked blood cockle would be as poetic irony as when steve irwin bought it from a stingray,0
shell on shrimp still have the vein (euphemism for 💩) in them .,0
you should always fully cook the kerang,1
"that is a ""calamasi"" not a kumquat(stingray bakae)and it is chives not spring onions(char kway teow)",0
"12:30 not even malay stall. just some indonesian staff working at chinese stall. 😂15:08 that's not pickle. that's plain cucumber.22:30 it's called roti jala. roti=bread, jala=net. you can google for the process it being made. it's easy. pardon my english",1
"they stole roti prata and to be their own recipes,how pathetic.",0
"that's not an omelet, it's an oyster scramble .",0
“oyster omelette” 😂 you mean scrambled eggs with oysters,1
"the green round ones is not cumquat, it is called calamansi also known as kalamansi. philippine lime found only in asian countries.",1
