place_url,review_text
https://maps.app.goo.gl/sws8cpK7E1f77P1y6,"Batu Caves is an unforgettable blend of culture, spirituality, and natural beauty. The towering golden statue of Lord Murugan immediately sets the tone, while the colourful staircase leading into the limestone caves creates a striking and almost cinematic first impression.

The climb is rewarding — not just physically, but visually. Along the way, you get panoramic views of Kuala Lumpur’s outskirts, and inside the caves, the scale and atmosphere are genuinely awe-inspiring. The way sunlight filters through the cave openings gives the space a calm, sacred feeling that contrasts beautifully with the lively crowds outside.

What makes Batu Caves special is how accessible yet meaningful it feels. You don’t need to be religious to appreciate its importance, history, and energy. The surrounding area also adds to the experience, with local stalls, nearby batik shops, and a strong sense of Malaysian culture.

It can be busy and humid, but that’s part of the authenticity. Batu Caves doesn’t feel like a manufactured attraction — it feels alive, lived-in, and deeply rooted in tradition.

Overall, Batu Caves is absolutely worth visiting. It’s one of those places that stays in your memory long after you leave — not just for how it looks, but for how it feels."
https://maps.app.goo.gl/sws8cpK7E1f77P1y6,"Visited this place in Malaysia, truly it is one of the most iconic and breathtaking place. The massive golden statues of Lord Murugan at the entrances of the temple is absolutely stunning and good for photography.
Seeing this statue so close is an unforgettable experience.
There were so many colourful stairs, I climbed a little bit beacuse batu caves was in my package and after we have to visit another place but the view from that was beautiful.
There were plenty of monkeys around. It was hot at thay time so recommend to visit early in the morning.
Overall Batu Caves is a must visit when in Kuala Lumpur."
https://maps.app.goo.gl/sws8cpK7E1f77P1y6,"A must visit if you're in KL, the walk isn't that difficult. Has all facilities to support large crowds, the entry is free and the staff is very helpful. The climb up is a little taxing but the views up top are totally worth it.

Moreover, the cave is beautiful and ancient. There are multiple temples inside."
https://maps.app.goo.gl/sws8cpK7E1f77P1y6,"Such an impressive sight on arrival, the large statue and brightly multi-coloured steps up to the caves. Not too busy when we arrived around 09:30 on a weekday morning, but a steady stream of people and was getting quite busy as we came back out of the temple.
Great views as you climb up to the top of the 272 stairs, with some monkeys on the way, at the top the cave itself is very spacious and impressive, with more brightly coloured temples (small fee to enter) and a smaller one with an opening to the sky which is equally impressive.
Entry is free, apart from the small fees to enter the small temples throughout, some at the top and several at the bottom as well. Secret cafes and small shops at the bottom to look around too.
Overall definitely worth a visit, but try to get there early morning to beat the crowds."
https://maps.app.goo.gl/sws8cpK7E1f77P1y6,Batu Caves was first discovered in a way in the 1930's (but really much before that) and opened up as a tourist destination in the 1960s. There are 272 colourful stairs to the car and want to make it to the top you will see you feel great about yourself. The gold standing Buddha statue to the right is 140 ft tall and is made by the same person who made the reclining Buddha in Thailand. Definitely a must-see place to come to if you are visiting. I highly recommend why for you
https://maps.app.goo.gl/sws8cpK7E1f77P1y6,"We visited Batu Caves and Ramanya Caves independently after considering some of the 'tours' offered online, which included visits to minor attractions or worse still tat shops.  Transportation was simple from KL using the MRT and KTM trains, overall time was less than 1 hour.  Outside the caves are Vendors selling snacks, drinks and gifts.  There are also some permanent shops, restaurants and toilets.  Entry to Batu cave is free, but entry to Ramanya cave was 15RM per person.  Climbing the stairs to Batu cave is possible for the average person, and once inside there some more stairs but not too many!  The shrines and temples are smaller than we expected, but still worth the effort.  The troops of monkeys are naughty and persistent - be careful of your belongings!  Litter is a problem on the stairs and in the caves, there are bins available, but they are not monkey-proof, so the trash is everywhere!  Looks like Lord Murugan has got a new coat and looks very smart!

Ramanya cave is much better decorated with lots of figures depicting scenes - very beautiful!  There are also quite a few stairs inside to get to the upper areas and some are unequal!  There is some renovation work around the entrance, so watch your step."
https://maps.app.goo.gl/sws8cpK7E1f77P1y6,"A great spot. I would recommend to go there by yourself. Cuz when I did the tour, we had about 2 hours there and it wasn’t enough for me, as I needed and wanted to get some content, and hang out with monkeys, as well as enjoy the views. It is also very very hot there (ofc as everywhere, but the steps really make it harder, so be prepped). I got myself a fan near the stairs, and it made my time much more pleasant"
https://maps.app.goo.gl/sws8cpK7E1f77P1y6,"Booked a day trip to the one pf the most famous tourist attractions that is Batu cabes dedicated to Lord Vishnu.
There’s a good number of stairs that need to be climbed to reach the temple 🛕
As a guide said, beware of the “gangsters with a tail” 🐵😂 on your way.
Overall it’s an amazing experience 🩷"
https://maps.app.goo.gl/sws8cpK7E1f77P1y6,"We were nearby and visited the cave after 5pm to avoid rush hour, it was a casual but not effortless climb on the 272 steps rainbow staircase.

Once you reach the first tier, further inside there is another flight of stairs to go to the top most part of the cave and temple.

Monkeys here are aplenty but still considered well mannered, don't touch them they will hiss at you."
https://maps.app.goo.gl/sws8cpK7E1f77P1y6,"The Batu Caves are an incredibly impressive and culturally enriching destination. The combination of nature, spirituality, and architecture is truly fascinating. The large main cave with its iconic staircase and temple complex is free to enter and absolutely worth visiting. There is another cave that requires an entrance fee of 30 Ringgit, which is reasonable.

The views, cultural significance, natural beauty, and overall experience deserve 5 stars. The massive limestone formations and the religious setting create a breathtaking and memorable environment.

However, what I did not appreciate was the cleanliness in certain areas. Some parts were quite dirty, and there was a very strong smell of dung in several places. In all temple areas, visitors are required to remove their shoes. Due to the hygienic conditions, I unfortunately did not feel comfortable doing so, which I found disappointing."
